                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.50547,                 0.2771,                0.87354,                0.99011,                0.98235,                0.99454,                0.93459,                0.39889,                0.20371,                 0.8496,              0.0082675,              0.0082675,              0.0082675
                     37,                0.50421,                0.27584,                0.87147,                0.98864,                0.98454,                0.99459,                0.93679,                 0.3991,                 0.2027,                0.84571,               0.008218,               0.008218,               0.008218
                     38,                0.49996,                0.27338,                0.87026,                0.98898,                0.98409,                0.99451,                0.93612,                0.39772,                0.20263,                0.85193,              0.0081685,              0.0081685,              0.0081685
                     39,                0.49272,                 0.2714,                0.86838,                0.98891,                0.98527,                0.99465,                0.94091,                 0.3915,                0.19884,                0.85166,               0.008119,               0.008119,               0.008119
                     40,                0.49155,                0.27034,                0.86855,                0.98924,                 0.9837,                0.99459,                0.93612,                0.39414,                0.19765,                0.84482,              0.0080695,              0.0080695,              0.0080695
                     41,                0.48242,                0.26774,                0.86733,                0.98936,                0.98611,                0.99463,                0.93959,                0.38389,                0.19519,                0.84831,                0.00802,                0.00802,                0.00802
                     42,                0.48588,                0.26773,                0.86893,                0.99072,                0.98308,                 0.9946,                0.94114,                0.38354,                0.19572,                0.84986,              0.0079705,              0.0079705,              0.0079705
                     43,                0.47647,                0.26269,                0.86481,                0.99138,                0.98454,                0.99463,                0.94368,                0.37784,                0.19443,                0.84507,               0.007921,               0.007921,               0.007921
                     44,                0.47427,                0.26246,                0.86381,                0.99057,                0.98402,                0.99461,                0.94343,                0.37198,                0.19053,                0.84054,              0.0078715,              0.0078715,              0.0078715
                     45,                0.47106,                0.26193,                0.85792,                0.98701,                 0.9882,                0.99467,                0.94556,                0.36726,                0.18609,                0.83414,               0.007822,               0.007822,               0.007822
                     46,                 0.4718,                0.26005,                0.86268,                0.99285,                0.98402,                0.99468,                0.94672,                0.37013,                0.18718,                0.84335,              0.0077725,              0.0077725,              0.0077725
                     47,                0.46964,                0.26035,                  0.858,                0.99173,                0.98496,                0.99472,                0.94824,                 0.3639,                0.18743,                0.83473,               0.007723,               0.007723,               0.007723
                     48,                 0.4683,                0.25882,                 0.8612,                0.98912,                0.98748,                0.99469,                0.94797,                0.36027,                0.18362,                0.84001,              0.0076735,              0.0076735,              0.0076735
                     49,                0.46285,                0.25688,                0.85779,                0.98973,                0.98663,                0.99468,                0.94891,                0.35889,                 0.1831,                0.83732,               0.007624,               0.007624,               0.007624
                     50,                0.46216,                0.25658,                0.86013,                0.99091,                0.98527,                0.99462,                0.95128,                0.35001,                0.18039,                0.83369,              0.0075745,              0.0075745,              0.0075745
                     51,                0.45604,                0.25482,                0.85731,                 0.9919,                0.98487,                 0.9946,                0.95046,                 0.3522,                 0.1807,                0.83505,               0.007525,               0.007525,               0.007525
                     52,                0.45177,                 0.2513,                0.85433,                0.99089,                0.98485,                0.99465,                0.95253,                0.34559,                0.17821,                 0.8334,              0.0074755,              0.0074755,              0.0074755
                     53,                0.45005,                0.25122,                0.85809,                0.99087,                0.98613,                 0.9947,                0.95302,                 0.3468,                0.17906,                0.83978,               0.007426,               0.007426,               0.007426
                     54,                 0.4526,                0.25216,                 0.8586,                0.99077,                0.98621,                 0.9947,                 0.9556,                0.33837,                0.17478,                0.83126,              0.0073765,              0.0073765,              0.0073765
                     55,                   0.45,                0.25084,                0.85511,                0.98972,                0.98642,                0.99468,                 0.9552,                0.33835,                0.17554,                0.82978,               0.007327,               0.007327,               0.007327
                     56,                0.44645,                0.24976,                0.85313,                0.99177,                0.98684,                0.99472,                0.95587,                0.33673,                0.17362,                0.82931,              0.0072775,              0.0072775,              0.0072775
                     57,                 0.4411,                0.24762,                0.85112,                0.98943,                0.98726,                0.99469,                0.95618,                0.33553,                0.17358,                0.82762,               0.007228,               0.007228,               0.007228
